First Name,Email Address,Company,Campaign Name,Sequence,Email Version,Target Segment,Pre Delivery Check Status,Pre Delivery Check Message,Mail Sent Status,Sent Timestamp,Message ID,Post Delivery Check Status,Post Delivery Check Message,Is Opened?,First Open Time,Link Clicked,Is Replied?,Reply Timestamp,Unsubscribed,Follow-Up Status
Maya,maya.16@redshield.com,RedShield,ACPT Outreach,2,V3,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-06 11:45:00,MSG-0016-2,Passed,Post-delivery verification passed,Yes,2026-08-06 12:45:00,No,No,,No,Pending
Maya,maya.16@redshield.com,RedShield,ACPT Outreach,3,V1,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-01 12:45:00,MSG-0016-3,Passed,Post-delivery verification passed,Yes,2026-08-01 13:50:00,Yes,No,,No,Due
Robert,robert.17@cloudforge.com,CloudForge,Enterprise Red Team,1,V3,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-05 13:52:00,MSG-0017-1,Passed,Post-delivery verification passed,Yes,2026-08-05 15:45:00,No,No,,No,Pending
Robert,robert.17@cloudforge.com,CloudForge,Enterprise Red Team,2,V1,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-07 14:52:00,MSG-0017-2,Passed,Post-delivery verification passed,No,,No,No,,No,Pending
Robert,robert.17@cloudforge.com,CloudForge,Enterprise Red Team,3,V2,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-02 15:52:00,MSG-0017-3,Passed,Post-delivery verification passed,Yes,2026-08-02 17:00:00,No,No,,No,Due
Ananya,ananya.18@datasecure.com,DataSecure,AltSecCON 2026,1,V1,CISO,Failed,Invalid recipient data,Failed,,MSG-0018-1,Failed,Post-delivery verification failed,No,,No,No,,No,Not Required
Ananya,ananya.18@datasecure.com,DataSecure,AltSecCON 2026,2,V2,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-01 17:59:00,MSG-0018-2,Passed,Post-delivery verification passed,Yes,2026-08-01 19:05:00,No,No,,No,Pending
Ananya,ananya.18@datasecure.com,DataSecure,AltSecCON 2026,3,V3,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-03 09:59:00,MSG-0018-3,Passed,Post-delivery verification passed,Yes,2026-08-03 11:10:00,No,No,,No,Due
Ananya,ananya.18@datasecure.com,DataSecure,AltSecCON 2026,4,V1,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-05 10:59:00,MSG-0018-4,Passed,Post-delivery verification passed,No,,No,No,,No,Due
Kevin,kevin.19@irongate.com,IronGate,Azure Red Team,1,V2,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-07 10:06:00,MSG-0019-1,Passed,Post-delivery verification passed,No,,No,No,,No,Pending
Laura,laura.20@novatech.com,NovaTech,Security Leadership,1,V3,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-01 13:13:00,MSG-0020-1,Failed,Post-delivery verification failed,No,,No,No,,No,Not Required
Laura,laura.20@novatech.com,NovaTech,Security Leadership,2,V1,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-03 14:13:00,MSG-0020-2,Failed,Post-delivery verification failed,No,,No,No,,No,Not Required
Alex,alex.21@acmecorp.com,Acme Corp,ACPT Outreach,1,V1,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-02 16:20:00,MSG-0021-1,Passed,Post-delivery verification passed,Yes,2026-08-02 17:30:00,No,No,,No,Pending
Alex,alex.21@acmecorp.com,Acme Corp,ACPT Outreach,2,V2,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-04 17:20:00,MSG-0021-2,Passed,Post-delivery verification passed,Yes,2026-08-04 18:35:00,Yes,No,,No,Pending
Sarah,sarah.22@northstarsecurity.com,Northstar Security,Enterprise Red Team,1,V2,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-03 10:27:00,MSG-0022-1,Passed,Post-delivery verification passed,Yes,2026-08-03 11:40:00,No,No,,No,Pending
Sarah,sarah.22@northstarsecurity.com,Northstar Security,Enterprise Red Team,2,V3,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-05 11:27:00,MSG-0022-2,Passed,Post-delivery verification passed,No,,No,No,,No,Pending
Sarah,sarah.22@northstarsecurity.com,Northstar Security,Enterprise Red Team,3,V1,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-07 12:27:00,MSG-0022-3,Passed,Post-delivery verification passed,Yes,2026-08-07 13:50:00,Yes,No,,No,Due
Michael,michael.23@vertexlabs.com,Vertex Labs,AltSecCON 2026,1,V3,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-04 13:34:00,MSG-0023-1,Passed,Post-delivery verification passed,Yes,2026-08-04 14:50:00,No,No,,No,Pending
Michael,michael.23@vertexlabs.com,Vertex Labs,AltSecCON 2026,2,V1,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-06 14:34:00,MSG-0023-2,Passed,Post-delivery verification passed,Yes,2026-08-06 15:55:00,No,No,,No,Pending
Michael,michael.23@vertexlabs.com,Vertex Labs,AltSecCON 2026,3,V2,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-01 15:34:00,MSG-0023-3,Passed,Post-delivery verification passed,Yes,2026-08-01 17:00:00,No,No,,No,Due
Priya,priya.24@bluepeaksystems.com,BluePeak Systems,Azure Red Team,1,V1,Red Team Lead,Passed,Pre-delivery checks passed,Failed,,MSG-0024-1,Failed,Post-delivery verification failed,No,,No,No,,No,Not Required
Priya,priya.24@bluepeaksystems.com,BluePeak Systems,Azure Red Team,2,V2,Red Team Lead,Passed,Pre-delivery checks passed,Failed,,MSG-0024-2,Failed,Post-delivery verification failed,No,,No,No,,No,Not Required
Priya,priya.24@bluepeaksystems.com,BluePeak Systems,Azure Red Team,3,V3,Red Team Lead,Passed,Pre-delivery checks passed,Failed,,MSG-0024-3,Failed,Post-delivery verification failed,No,,No,No,,No,Not Required
Priya,priya.24@bluepeaksystems.com,BluePeak Systems,Azure Red Team,4,V1,Red Team Lead,Passed,Pre-delivery checks passed,Failed,,MSG-0024-4,Failed,Post-delivery verification failed,No,,No,No,,No,Not Required
Daniel,daniel.25@cybercore.com,CyberCore,Security Leadership,1,V2,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-06 10:48:00,MSG-0025-1,Passed,Post-delivery verification passed,Yes,2026-08-06 12:10:00,No,No,,No,Pending
Emily,emily.26@redshield.com,RedShield,ACPT Outreach,1,V3,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-07 13:55:00,MSG-0026-1,Passed,Post-delivery verification passed,Yes,2026-08-07 15:20:00,Yes,Yes,2026-08-07 17:24:00,No,Completed
Emily,emily.26@redshield.com,RedShield,ACPT Outreach,2,V1,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-02 14:55:00,MSG-0026-2,Passed,Post-delivery verification passed,Yes,2026-08-02 16:25:00,No,No,,No,Pending
James,james.27@cloudforge.com,CloudForge,Enterprise Red Team,1,V1,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-01 16:02:00,MSG-0027-1,Passed,Post-delivery verification passed,Yes,2026-08-01 17:30:00,No,No,,No,Pending
James,james.27@cloudforge.com,CloudForge,Enterprise Red Team,2,V2,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-03 17:02:00,MSG-0027-2,Passed,Post-delivery verification passed,No,,No,No,,No,Pending
Olivia,olivia.28@datasecure.com,DataSecure,AltSecCON 2026,1,V2,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-02 10:09:00,MSG-0028-1,Passed,Post-delivery verification passed,Yes,2026-08-02 11:40:00,No,No,,No,Pending
Olivia,olivia.28@datasecure.com,DataSecure,AltSecCON 2026,2,V3,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-04 11:09:00,MSG-0028-2,Passed,Post-delivery verification passed,Yes,2026-08-04 12:45:00,No,No,,No,Pending
Olivia,olivia.28@datasecure.com,DataSecure,AltSecCON 2026,3,V1,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-06 12:09:00,MSG-0028-3,Passed,Post-delivery verification passed,Yes,2026-08-06 13:50:00,Yes,Yes,2026-08-06 16:06:00,No,Completed
Arjun,arjun.29@irongate.com,IronGate,Azure Red Team,1,V3,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-03 13:16:00,MSG-0029-1,Passed,Post-delivery verification passed,No,,No,No,,No,Pending
Arjun,arjun.29@irongate.com,IronGate,Azure Red Team,2,V1,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-05 14:16:00,MSG-0029-2,Passed,Post-delivery verification passed,Yes,2026-08-05 15:55:00,No,No,,No,Pending
Arjun,arjun.29@irongate.com,IronGate,Azure Red Team,3,V2,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-07 15:16:00,MSG-0029-3,Passed,Post-delivery verification passed,Yes,2026-08-07 17:00:00,No,No,,No,Due
Sophia,sophia.30@novatech.com,NovaTech,Security Leadership,1,V1,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-04 16:23:00,MSG-0030-1,Passed,Post-delivery verification passed,Yes,2026-08-04 18:00:00,No,No,,No,Pending
Sophia,sophia.30@novatech.com,NovaTech,Security Leadership,2,V2,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-06 17:23:00,MSG-0030-2,Passed,Post-delivery verification passed,Yes,2026-08-06 19:05:00,No,No,,No,Pending
Sophia,sophia.30@novatech.com,NovaTech,Security Leadership,3,V3,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-01 09:23:00,MSG-0030-3,Passed,Post-delivery verification passed,No,,No,No,,No,Due
Sophia,sophia.30@novatech.com,NovaTech,Security Leadership,4,V1,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-03 10:23:00,MSG-0030-4,Passed,Post-delivery verification passed,Yes,2026-08-03 12:15:00,No,No,,No,Due
David,david.31@acmecorp.com,Acme Corp,ACPT Outreach,1,V2,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-05 10:30:00,MSG-0031-1,Passed,Post-delivery verification passed,Yes,2026-08-05 12:10:00,No,No,,No,Pending
Emma,emma.32@northstarsecurity.com,Northstar Security,Enterprise Red Team,1,V3,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-06 13:37:00,MSG-0032-1,Passed,Post-delivery verification passed,Yes,2026-08-06 15:20:00,Yes,No,,No,Pending
Emma,emma.32@northstarsecurity.com,Northstar Security,Enterprise Red Team,2,V1,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-01 14:37:00,MSG-0032-2,Passed,Post-delivery verification passed,No,,No,No,,No,Pending
Ryan,ryan.33@vertexlabs.com,Vertex Labs,AltSecCON 2026,1,V1,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-07 16:44:00,MSG-0033-1,Passed,Post-delivery verification passed,Yes,2026-08-07 18:30:00,No,No,,No,Pending
Ryan,ryan.33@vertexlabs.com,Vertex Labs,AltSecCON 2026,2,V2,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-02 17:44:00,MSG-0033-2,Passed,Post-delivery verification passed,Yes,2026-08-02 19:35:00,Yes,No,,No,Pending
Aisha,aisha.34@bluepeaksystems.com,BluePeak Systems,Azure Red Team,1,V2,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-01 10:51:00,MSG-0034-1,Passed,Post-delivery verification passed,No,,No,No,,No,Pending
Aisha,aisha.34@bluepeaksystems.com,BluePeak Systems,Azure Red Team,2,V3,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-03 11:51:00,MSG-0034-2,Passed,Post-delivery verification passed,Yes,2026-08-03 13:45:00,No,No,,No,Pending
Aisha,aisha.34@bluepeaksystems.com,BluePeak Systems,Azure Red Team,3,V1,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-05 12:51:00,MSG-0034-3,Passed,Post-delivery verification passed,Yes,2026-08-05 13:55:00,Yes,No,,No,Due
Chris,chris.35@cybercore.com,CyberCore,Security Leadership,1,V3,Security Company,Failed,Invalid recipient data,Failed,,MSG-0035-1,Failed,Post-delivery verification failed,No,,No,No,,No,Not Required
Chris,chris.35@cybercore.com,CyberCore,Security Leadership,2,V1,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-04 14:58:00,MSG-0035-2,Passed,Post-delivery verification passed,Yes,2026-08-04 16:00:00,No,No,,Yes,Unsubscribed
Chris,chris.35@cybercore.com,CyberCore,Security Leadership,3,V2,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-06 15:58:00,MSG-0035-3,Passed,Post-delivery verification passed,No,,No,No,,No,Due
Maya,maya.36@redshield.com,RedShield,ACPT Outreach,1,V1,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-03 16:05:00,MSG-0036-1,Passed,Post-delivery verification passed,Yes,2026-08-03 17:05:00,No,No,,No,Pending
Maya,maya.36@redshield.com,RedShield,ACPT Outreach,2,V2,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-05 17:05:00,MSG-0036-2,Passed,Post-delivery verification passed,Yes,2026-08-05 18:10:00,No,No,,No,Pending
Maya,maya.36@redshield.com,RedShield,ACPT Outreach,3,V3,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-07 09:05:00,MSG-0036-3,Passed,Post-delivery verification passed,Yes,2026-08-07 10:15:00,No,No,,No,Due
Maya,maya.36@redshield.com,RedShield,ACPT Outreach,4,V1,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-02 10:05:00,MSG-0036-4,Passed,Post-delivery verification passed,Yes,2026-08-02 11:20:00,No,No,,No,Due
Robert,robert.37@cloudforge.com,CloudForge,Enterprise Red Team,1,V2,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-04 10:12:00,MSG-0037-1,Passed,Post-delivery verification passed,Yes,2026-08-04 11:15:00,No,No,,No,Pending
Ananya,ananya.38@datasecure.com,DataSecure,AltSecCON 2026,1,V3,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-05 13:19:00,MSG-0038-1,Passed,Post-delivery verification passed,Yes,2026-08-05 14:25:00,Yes,No,,No,Pending
Ananya,ananya.38@datasecure.com,DataSecure,AltSecCON 2026,2,V1,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-07 14:19:00,MSG-0038-2,Passed,Post-delivery verification passed,Yes,2026-08-07 15:30:00,No,No,,No,Pending
Kevin,kevin.39@irongate.com,IronGate,Azure Red Team,1,V1,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-06 16:26:00,MSG-0039-1,Failed,Post-delivery verification failed,No,,No,No,,No,Not Required
Kevin,kevin.39@irongate.com,IronGate,Azure Red Team,2,V2,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-01 17:26:00,MSG-0039-2,Failed,Post-delivery verification failed,No,,No,No,,No,Not Required
Laura,laura.40@novatech.com,NovaTech,Security Leadership,1,V2,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-07 10:33:00,MSG-0040-1,Passed,Post-delivery verification passed,Yes,2026-08-07 11:45:00,No,No,,No,Pending
Laura,laura.40@novatech.com,NovaTech,Security Leadership,2,V3,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-02 11:33:00,MSG-0040-2,Passed,Post-delivery verification passed,Yes,2026-08-02 12:50:00,No,No,,No,Pending
Laura,laura.40@novatech.com,NovaTech,Security Leadership,3,V1,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-04 12:33:00,MSG-0040-3,Passed,Post-delivery verification passed,No,,No,No,,No,Due
Alex,alex.41@acmecorp.com,Acme Corp,ACPT Outreach,1,V3,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-01 13:40:00,MSG-0041-1,Passed,Post-delivery verification passed,Yes,2026-08-01 14:55:00,No,No,,No,Pending
Alex,alex.41@acmecorp.com,Acme Corp,ACPT Outreach,2,V1,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-03 14:40:00,MSG-0041-2,Passed,Post-delivery verification passed,Yes,2026-08-03 16:00:00,No,No,,No,Pending
Alex,alex.41@acmecorp.com,Acme Corp,ACPT Outreach,3,V2,Enterprise,Passed,Pre-delivery checks passed,Sent,2026-08-05 15:40:00,MSG-0041-3,Passed,Post-delivery verification passed,Yes,2026-08-05 17:05:00,No,No,,No,Due
Sarah,sarah.42@northstarsecurity.com,Northstar Security,Enterprise Red Team,1,V1,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-02 16:47:00,MSG-0042-1,Passed,Post-delivery verification passed,Yes,2026-08-02 18:05:00,No,No,,No,Pending
Sarah,sarah.42@northstarsecurity.com,Northstar Security,Enterprise Red Team,2,V2,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-04 17:47:00,MSG-0042-2,Passed,Post-delivery verification passed,No,,No,No,,No,Pending
Sarah,sarah.42@northstarsecurity.com,Northstar Security,Enterprise Red Team,3,V3,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-06 09:47:00,MSG-0042-3,Passed,Post-delivery verification passed,Yes,2026-08-06 11:15:00,No,No,,No,Due
Sarah,sarah.42@northstarsecurity.com,Northstar Security,Enterprise Red Team,4,V1,Security Team,Passed,Pre-delivery checks passed,Sent,2026-08-01 10:47:00,MSG-0042-4,Passed,Post-delivery verification passed,Yes,2026-08-01 12:20:00,No,No,,No,Due
Michael,michael.43@vertexlabs.com,Vertex Labs,AltSecCON 2026,1,V2,CISO,Passed,Pre-delivery checks passed,Sent,2026-08-03 10:54:00,MSG-0043-1,Passed,Post-delivery verification passed,Yes,2026-08-03 12:15:00,No,No,,No,Pending
Priya,priya.44@bluepeaksystems.com,BluePeak Systems,Azure Red Team,1,V3,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-04 13:01:00,MSG-0044-1,Passed,Post-delivery verification passed,No,,No,No,,No,Pending
Priya,priya.44@bluepeaksystems.com,BluePeak Systems,Azure Red Team,2,V1,Red Team Lead,Passed,Pre-delivery checks passed,Sent,2026-08-06 14:01:00,MSG-0044-2,Passed,Post-delivery verification passed,Yes,2026-08-06 15:30:00,No,No,,No,Pending
Daniel,daniel.45@cybercore.com,CyberCore,Security Leadership,1,V1,Security Company,Passed,Pre-delivery checks passed,Sent,2026-08-05 16:08:00,MSG-0045-1,Passed,Post-delivery verification passed,Yes,2026-08-05 17:35:00,No,No,,No,Pending
